<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.08.03	17:18:00	181265	181477	181235	181404	18271	66037	1
2021.08.03	17:21:00	181404	181433	181331	181345	7569	23385	1
2021.08.03	17:24:00	181345	181389	181287	181338	7196	22538	1
2021.08.03	17:27:00	181338	181375	181103	181111	14387	48402	1
2021.08.03	17:30:00	181118	181243	181081	181199	10672	34971	1
2021.08.03	17:33:00	181206	181279	181103	181162	9848	31602	1
2021.08.03	17:36:00	181169	181301	181118	181257	7932	23349	1
2021.08.03	17:39:00	181257	181257	181118	181169	6929	21399	1
2021.08.03	17:42:00	181162	181199	181008	181074	8108	29689	1
2021.08.03	17:45:00	181074	181089	180861	180898	11860	40094	1
2021.08.03	17:48:00	180898	180949	180781	180854	11771	34608	1
2021.08.03	17:51:00	180861	180979	180817	180847	5324	13639	1
2021.08.03	17:54:00	180854	180876	180685	180685	1563	10681	1
2021.08.04	09:00:00	180685	181030	180568	180891	45866	123038	1
2021.08.04	09:03:00	180891	180957	180399	180480	49483	144403	1
2021.08.04	09:06:00	180480	180803	180458	180649	35956	120368	1
2021.08.04	09:09:00	180649	180832	180414	180495	35159	122589	1
2021.08.04	09:12:00	180502	181550	180260	181147	80227	272176	1
2021.08.04	09:15:00	181147	181484	180597	180663	83985	263581	1
2021.08.04	09:18:00	180663	180832	180282	180693	72688	247114	1
2021.08.04	09:21:00	180693	180883	180509	180678	46210	155648	1
2021.08.04	09:24:00	180678	180920	180641	180905	29253	101522	1
2021.08.04	09:27:00	180905	180920	180619	180817	33805	116946	1
2021.08.04	09:30:00	180817	180971	180781	180876	32050	114544	1
2021.08.04	09:33:00	180883	180986	180685	180781	41558	155951	1
2021.08.04	09:36:00	180773	180803	180649	180759	21018	77348	1
2021.08.04	09:39:00	180751	180832	180458	180810	48165	162147	1
2021.08.04	09:42:00	180810	180883	180590	180715	28571	99447	1
2021.08.04	09:45:00	180715	180861	180656	180707	21953	79392	1
2021.08.04	09:48:00	180707	180707	180319	180392	47993	166332	1
2021.08.04	09:51:00	180392	180597	180282	180341	33873	118794	1
2021.08.04	09:54:00	180348	180590	180238	180517	42662	150448	1
2021.08.04	09:57:00	180524	180935	180524	180803	45427	156314	1
2021.08.04	10:00:00	180803	180803	180414	180502	57963	209088	1
2021.08.04	10:03:00	180502	180583	179747	179989	89388	306936	1
2021.08.04	10:06:00	179989	180121	179850	180048	51921	178976	1
2021.08.04	10:09:00	180055	180187	179747	180128	74654	256478	1
2021.08.04	10:12:00	180128	180326	180055	180267	44683	152158	1
2021.08.04	10:15:00	180275	180289	179879	180231	62007	203272	1
2021.08.04	10:18:00	180238	180465	180099	180180	68712	226494	1
2021.08.04	10:21:00	180187	180671	180150	180641	53210	187437	1
2021.08.04	10:24:00	180634	180957	180546	180766	77359	269714	1
2021.08.04	10:27:00	180766	180773	180267	180289	53058	175922	1
2021.08.04	10:30:00	180282	180421	179872	180260	93332	321897	1
2021.08.04	10:33:00	180267	180693	180121	180429	70748	246591	1
2021.08.04	10:36:00	180429	180568	180070	180202	55577	185619	1
2021.08.04	10:39:00	180202	180304	179681	179879	63788	215821	1
2021.08.04	10:42:00	179872	180267	179769	180238	38225	132166	1
2021.08.04	10:45:00	180238	180260	179857	179996	52039	174397	1
2021.08.04	10:48:00	179996	180590	179967	180568	64433	215687	1
2021.08.04	10:51:00	180575	180773	180246	180473	66041	221885	1
2021.08.04	10:54:00	180473	180583	179666	179718	68769	235744	1
2021.08.04	10:57:00	179718	179996	179615	179945	49019	163905	1
2021.08.04	11:00:00	179960	179960	179109	179395	93087	320391	1
2021.08.04	11:03:00	179395	179688	179160	179351	64360	216959	1
2021.08.04	11:06:00	179351	179747	179285	179593	48329	159752	1
2021.08.04	11:09:00	179593	179740	179424	179659	43893	148862	1
2021.08.04	11:12:00	179652	179850	179498	179769	35934	118441	1
2021.08.04	11:15:00	179776	179806	179278	179622	61569	203660	1
2021.08.04	11:18:00	179630	179718	179358	179424	41571	139140	1
2021.08.04	11:21:00	179432	179527	179073	179087	50125	178142	1
2021.08.04	11:24:00	179095	179256	178933	179116	67279	231641	1
2021.08.04	11:27:00	179116	179219	178882	178999	41058	145589	1
2021.08.04	11:30:00	178992	179007	178537	178574	65136	240668	1
2021.08.04	11:33:00	178574	179102	178559	178970	63525	219718	1
2021.08.04	11:36:00	178970	179219	178926	178992	40836	142878	1
2021.08.04	11:39:00	178985	179087	178757	178845	47825	162354	1
2021.08.04	11:42:00	178838	179036	178765	178948	32965	116451	1
2021.08.04	11:45:00	178941	179073	178618	179065	47644	160129	1
2021.08.04	11:48:00	179065	179087	178684	178765	33668	113865	1
2021.08.04	11:51:00	178757	178787	178376	178523	48505	165790	1
2021.08.04	11:54:00	178515	178757	178391	178713	38237	134380	1
2021.08.04	11:57:00	178713	179190	178537	179080	46245	167377	1
2021.08.04	12:00:00	179080	179168	178933	179007	31466	108113	1
2021.08.04	12:03:00	179007	179080	178640	178787	40481	143966	1
2021.08.04	12:06:00	178794	178911	178691	178735	27498	96935	1
2021.08.04	12:09:00	178735	178794	178545	178706	32604	111169	1
2021.08.04	12:12:00	178713	178853	178618	178816	21950	81414	1
