<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.02.06	146371	149933	146228	149933	4102560	16220666	1
2024.02.07	149407	149407	148155	148715	4187271	16214943	1
2024.02.08	148475	148887	146325	146697	4217358	16310533	1
2024.02.09	147063	147543	145890	146445	4208138	16164089	1
2024.02.14	145456	145849	144720	145209	2183336	8221856	1
2024.02.15	145507	146024	144967	145995	4116079	15318357	1
2024.02.16	146310	147417	145759	147041	4125379	15948898	1
2024.02.19	146630	147305	146203	147271	2688908	10293979	1
2024.02.20	146552	148434	146203	148434	3971098	15930581	1
2024.02.21	147816	148631	147473	148631	4247261	15955988	1
2024.02.22	149423	149480	148153	148417	3936614	15201721	1
2024.02.23	148648	148895	147074	147811	3618772	14692909	1
2024.02.26	147496	148114	147074	147552	3368639	13136324	1
2024.02.27	148187	150154	148165	149901	3325487	13034020	1
2024.02.28	149367	149570	147704	148159	4129062	15803034	1
2024.02.29	148580	148659	146411	147007	3999046	15682471	1
2024.03.01	147198	147586	146366	146670	3698759	14040165	1
2024.03.04	146872	147091	145816	145900	3213960	12146855	1
2024.03.05	145771	146692	145287	145827	4058493	15648447	1
2024.03.06	146305	146979	145973	146406	4245189	16424386	1
2024.03.07	146760	146799	145400	145754	3609177	14259949	1
2024.03.08	143298	144849	142849	144203	4846874	18711194	1
2024.03.11	143517	144130	143000	143366	4206335	16197890	1
2024.03.12	143714	145349	143641	144877	4629042	17066098	1
2024.03.13	144917	145816	144400	145349	3987890	15258994	1
2024.03.14	145602	145636	144164	144984	4369966	17081901	1
2024.03.15	144905	145051	143253	143287	3777439	14928572	1
2024.03.18	144085	144512	143040	143641	3638657	14668527	1
2024.03.19	143686	144956	143410	144518	4043078	16561726	1
2024.03.20	144377	146844	144051	146563	4884957	18802334	1
2024.03.21	146479	146681	144793	144855	3157683	12895767	1
2024.03.22	144799	144827	143439	143455	3823149	14898434	1
2024.03.25	143579	143815	143068	143371	3348119	12518584	1
2024.03.26	143467	143793	142854	143450	3488560	13132040	1
2024.03.27	143635	144400	142545	143883	3465876	14641978	1
2024.03.28	143798	145001	143652	144692	3237397	12839046	1
2024.04.01	144860	145276	143079	143298	3322975	13526779	1
2024.04.02	143467	144040	142832	143590	3964272	16039906	1
2024.04.03	143394	144096	142275	143534	4140522	17361320	1
2024.04.04	143793	146237	143360	143478	5259551	21602661	1
2024.04.05	143731	144310	142438	142933	5156560	20312129	1
2024.04.08	143130	145619	142759	144973	4160573	16186234	1
2024.04.09	145377	146541	145248	146423	4785742	18746052	1
2024.04.10	146782	147659	143765	144225	5805693	21974326	1
2024.04.11	143804	144225	142916	143231	4657858	18344992	1
2024.04.12	143579	143714	141303	141579	5010832	19317482	1
2024.04.15	142247	142495	140573	140691	5369216	20364976	1
2024.04.16	140691	140719	139089	139381	5713790	22300737	1
2024.04.17	140367	140905	138805	139525	5034765	18675733	1
2024.04.18	140013	140511	138484	139426	5188981	19756848	1
2024.04.19	138921	140899	138883	140489	4662056	17647919	1
2024.04.22	141038	141437	139741	141137	4441741	16969100	1
2024.04.23	140739	141193	139337	140234	4919083	18547068	1
2024.04.24	140755	141043	139608	139841	4546340	16893214	1
2024.04.25	139509	140993	138539	139481	5159966	18969149	1
2024.04.26	140434	142096	139880	141819	4092603	14647066	1
2024.04.29	141808	142677	141509	142583	4366148	15785490	1
2024.04.30	142173	142506	140838	141099	4468692	16713161	1
2024.05.02	142013	142966	141686	142118	4464268	17341469	1
2024.05.03	142317	144384	141647	144229	4705529	17298272	1
2024.05.06	144495	144572	143459	143669	3912477	14922680	1
2024.05.07	143669	145115	143592	144428	3918346	15216862	1
2024.05.08	143924	145713	143093	145060	4031668	16143965	1
2024.05.09	143592	143669	142245	143647	4842688	17949244	1
2024.05.10	143592	144062	142400	142628	4294008	16316176	1
2024.05.13	143226	143724	142539	143259	4086431	15249342	1
2024.05.14	142611	143996	142384	143741	4647444	17749580	1
2024.05.15	142074	143259	141387	143159	4962687	18933286	1
2024.05.16	143115	144029	142594	143043	4420597	17079908	1
2024.05.17	143315	143342	142284	143148	3844260	14725415	1
2024.05.20	143315	143514	142002	142351	4137975	16140199	1
2024.05.21	142484	142871	141669	142046	5270947	20138260	1
2024.05.22	141819	141863	139160	139248	5329737	20421977	1
2024.05.23	139769	140101	138462	138994	5063968	18948087	1
2024.05.24	139215	139514	137952	137952	4139725	15000906	1
2024.05.27	138284	138589	137996	138495	3131959	11032896	1
2024.05.28	138955	139824	137210	137348	4787279	19105521	1
2024.05.29	137077	137237	136129	136667	4085192	15995545	1
2024.05.31	136667	136789	135409	135969	3861451	14834537	1
2024.06.03	136124	136190	134872	135177	4436981	16554606	1
2024.06.04	134861	135459	134196	135221	4956645	18207999	1
2024.06.05	135509	135592	134517	134634	4549213	17394471	1
2024.06.06	134839	136794	134490	136285	4439610	17099724	1
2024.06.07	136224	136750	133382	133625	5128757	19147888	1
2024.06.10	133725	134617	133526	134163	4647655	17581365	1
2024.06.11	133509	135038	133304	134839	4730720	17193669	1
2024.06.12	134632	135972	132260	132593	6040515	21300955	1
2024.06.13	132811	133280	131933	132337	5395877	18977298	1
2024.06.14	132233	133127	131459	132577	4889958	17268747	1
2024.06.17	132451	132898	131247	131764	4526500	16455264	1
2024.06.18	131416	132827	131116	132386	4951666	17430345	1
2024.06.19	132451	133814	131525	133814	4442848	15251034	1
2024.06.20	134381	134517	132746	133094	5557968	19807075	1
2024.06.21	133105	134359	132669	134294	4543536	16811937	1
2024.06.24	134185	135711	133890	135547	4193201	15311556	1
2024.06.25	135215	135624	134653	135280	4440969	15935408	1
2024.06.26	135340	135580	133934	135580	4906129	17816751	1
2024.06.27	135231	137357	135231	137248	4840987	18176305	1
2024.06.28	137177	137488	135940	136539	4820407	18764951	1
2024.07.01	136921	138136	136327	137270	5074529	19031046	1
2024.07.02	137030	138392	136861	137880	5000576	18780540	1
2024.07.03	138147	139537	138071	139101	4216615	16038544	1
2024.07.04	139537	139799	138850	139030	3727011	13497853	1
2024.07.05	139101	139793	138185	139276	4430466	16236118	1
2024.07.08	139101	139368	138218	139188	4707841	16225308	1
2024.07.09	139183	140191	138567	140055	4520322	16765785	1
2024.07.10	140218	140676	139603	139712	4658833	16598205	1
2024.07.11	139973	141189	139891	141140	4627979	16579909	1
2024.07.12	141085	141881	140698	141859	4132241	15553107	1
2024.07.15	141663	142339	141445	142301	3971497	14446476	1
2024.07.16	141935	142333	141423	142083	4186511	15769347	1
2024.07.17	141696	142366	141358	142061	3932685	14561788	1
2024.07.18	141963	142224	139951	140900	4403838	16420858	1
2024.07.19	140671	141014	139428	139428	2944039	10801891	1
2024.07.22	139973	140573	139684	140404	3628825	13304782	1
