<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.09.07	139.86	140.91	138.36	139.21	204546	19949017	1
2025.09.14	139.70	143.33	139.60	142.79	371295	34706633	1
2025.09.21	141.96	144.12	141.10	142.44	248032	16827117	1
2025.09.28	144.21	144.64	140.70	141.22	308632	18816818	1
2025.10.05	141.22	141.57	137.30	137.81	355729	27698873	1
2025.10.12	138.78	140.42	138.29	140.40	302317	38166824	1
2025.10.19	140.80	144.20	140.36	143.00	254130	25286720	1
2025.10.26	144.48	146.75	143.43	146.41	252633	29121551	1
2025.11.02	147.10	151.14	146.52	150.80	224031	22363613	1
2025.11.09	151.67	155.31	151.48	154.34	352852	29557483	1
2025.11.16	154.46	154.74	150.49	151.95	229281	30534098	1
2025.11.23	151.63	156.52	151.40	155.85	183971	25500285	1
2025.11.30	155.71	161.74	153.73	154.18	255038	34615795	1
2025.12.07	155.75	158.12	152.04	157.50	238815	26996542	1
2025.12.14	158.86	159.83	153.41	155.30	304277	45952177	1
2025.12.21	155.30	157.97	154.14	157.82	92667	13170281	1
2025.12.28	157.76	159.11	156.67	157.36	79882	9846582	1
2026.01.04	157.35	161.10	157.13	160.10	176039	15001447	1
