<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.04.04	98.80	99.75	98.43	98.51	55089	4273620	1
2023.04.05	98.56	98.76	96.71	97.63	59019	6361811	1
2023.04.06	97.67	98.34	97.17	97.59	61762	4070924	1
2023.04.10	98.11	98.94	98.08	98.66	36198	4475579	1
2023.04.11	100.14	103.06	100.14	102.91	96508	12106591	1
2023.04.12	103.30	104.89	102.86	103.35	93687	11619906	1
2023.04.13	103.57	103.70	102.78	102.93	43005	6054251	1
2023.04.14	102.00	103.34	101.49	103.04	54909	6441959	1
2023.04.17	102.87	103.45	102.25	102.71	55077	6554109	1
2023.04.18	102.99	103.05	101.74	102.70	59262	7332867	1
2023.04.19	102.00	102.00	100.25	100.48	72619	8557634	1
2023.04.20	100.33	101.30	99.74	101.00	63286	7520342	1
2023.04.24	100.53	101.50	99.89	100.62	56046	6468331	1
2023.04.25	100.07	100.18	99.34	99.92	137716	5668363	1
2023.04.26	100.27	100.35	98.94	99.01	81675	6684995	1
2023.04.27	99.01	99.87	98.71	99.53	57644	6006289	1
2023.04.28	99.64	101.07	99.14	100.90	56084	8237091	1
2023.05.02	100.60	100.77	98.25	98.49	76003	6752220	1
2023.05.03	98.78	99.13	98.15	98.60	69910	6818384	1
2023.05.04	99.80	100.15	97.76	98.95	83152	11027614	1
2023.05.05	99.51	101.91	99.40	101.91	168652	9387131	1
2023.05.08	103.00	103.30	102.29	102.49	51816	7038584	1
2023.05.09	102.18	104.31	102.13	103.80	72024	9670446	1
2023.05.10	103.61	104.31	103.00	103.97	55385	5072078	1
2023.05.11	102.98	105.22	102.98	104.82	62649	7775421	1
2023.05.12	104.05	105.29	104.00	105.05	59328	11789614	1
2023.05.15	105.33	105.77	104.81	105.47	50218	8655150	1
2023.05.16	105.63	106.67	104.57	104.63	89387	12485193	1
2023.05.17	105.85	106.31	105.50	106.01	60166	7681042	1
2023.05.18	105.98	106.80	105.32	106.75	63308	17570782	1
2023.05.19	107.00	107.68	106.24	107.16	99651	10053521	1
2023.05.22	107.50	108.10	106.55	106.55	54080	6204078	1
2023.05.23	106.60	107.77	106.18	106.44	55863	7007199	1
2023.05.24	105.43	106.20	105.04	105.27	59501	8382293	1
2023.05.25	107.00	107.65	106.11	106.55	64249	8807932	1
2023.05.26	108.00	108.17	106.30	107.51	59645	7602318	1
2023.05.29	107.25	107.59	106.62	106.77	66266	6600371	1
2023.05.30	107.54	107.78	105.12	105.38	59985	5935395	1
2023.05.31	104.97	105.71	104.78	104.84	35422	5850812	1
2023.06.01	105.51	107.24	104.86	107.20	50305	6991641	1
2023.06.02	108.25	109.44	108.25	109.02	179824	9601052	1
2023.06.05	109.32	109.46	108.11	109.14	50616	4992194	1
2023.06.06	109.50	111.19	109.35	111.07	96134	7065890	1
2023.06.07	111.66	112.26	110.96	111.78	78689	7573762	1
2023.06.09	112.50	113.85	112.44	113.21	56790	7558415	1
2023.06.12	113.59	114.00	112.93	113.64	53585	7289286	1
2023.06.13	113.90	114.14	112.66	112.94	74341	6666769	1
2023.06.14	113.69	115.41	113.50	115.11	89379	12413614	1
2023.06.15	115.09	115.91	114.90	115.40	98798	12811365	1
2023.06.16	114.79	115.80	114.56	114.90	40759	7560102	1
2023.06.19	114.70	116.25	114.70	116.13	77478	5422980	1
2023.06.20	115.51	115.94	114.68	115.82	57945	5857464	1
2023.06.21	115.78	116.78	115.56	116.27	63084	4391740	1
2023.06.22	115.82	116.30	114.27	115.26	45908	5497648	1
2023.06.23	115.20	115.68	114.49	115.31	51735	3904942	1
2023.06.26	115.29	115.29	113.77	114.42	37986	5390179	1
2023.06.27	115.31	115.45	112.88	113.77	75522	7566418	1
2023.06.28	113.60	114.38	112.89	113.03	48087	3756649	1
2023.06.29	113.30	114.96	113.23	114.91	48927	5125552	1
2023.06.30	115.70	115.77	114.17	114.17	64767	11077592	1
2023.07.03	114.90	116.10	114.75	115.94	41656	4877031	1
2023.07.04	115.62	115.92	115.03	115.24	62326	3640097	1
2023.07.05	114.85	118.06	114.85	115.84	70867	7689489	1
2023.07.06	114.85	115.13	113.43	113.64	42203	5969984	1
2023.07.07	114.00	115.87	114.00	115.19	62235	5194573	1
2023.07.10	114.66	115.04	114.10	114.10	67870	7146058	1
2023.07.11	113.97	114.07	112.04	113.80	65754	5416875	1
